datetime,1335A,1336A,1337A,1338A,1339A,1340A,1341A,1342A,1343A,1344A,average_pm2.5
2023/12/9,39.5,35.166666666666664,44.875,43.625,34.375,40.708333333333336,39.791666666666664,36.5,39.208333333333336,36.583333333333336,39.03333333333333
2023/12/10,51.541666666666664,47.583333333333336,53.541666666666664,52.666666666666664,41.125,49.5,45.625,43.708333333333336,47.75,26.291666666666668,45.93333333333334
2023/12/11,12.458333333333334,12.041666666666666,11.958333333333334,11.291666666666666,16.166666666666668,8.375,10.291666666666666,9.416666666666666,11.416666666666666,9.104166666666666,11.252083333333333
2023/12/12,33.083333333333336,23.375,32.333333333333336,32.916666666666664,29.375,31.916666666666668,30.083333333333332,30.541666666666668,25.625,25.666666666666668,29.491666666666664
2023/12/13,32.333333333333336,35.75,33.541666666666664,40.583333333333336,33.583333333333336,37.166666666666664,37.916666666666664,39,39.708333333333336,23.166666666666668,35.275
2023/12/14,37.208333333333336,36.708333333333336,37.875,42.791666666666664,44.208333333333336,32.708333333333336,37.875,42.333333333333336,39,19.3125,37.00208333333333
2023/12/15,12.708333333333334,13.708333333333334,12.041666666666666,16.416666666666668,17.5,13.125,13.791666666666666,15.416666666666666,13.708333333333334,12.708333333333334,14.112499999999999
2023/12/16,15.229166666666666,16.625,16.5,17.625,19.291666666666668,10.875,16.75,17.25,17.333333333333332,12.875,16.035416666666666
2023/12/17,17.291666666666668,17.833333333333332,18.291666666666668,24,18.5,13.958333333333334,18.916666666666668,18.541666666666668,16.708333333333332,17.25,18.129166666666666
2023/12/18,26.956521739130434,25.130434782608695,34.97826086956522,33.608695652173914,25.565217391304348,26.130434782608695,26.043478260869566,27.217391304347824,23.304347826086957,22.043478260869566,27.097826086956523
2023/12/19,37,40.21739130434783,37.08695652173913,46.17391304347826,36.391304347826086,43.21739130434783,40.608695652173914,42.52173913043478,40.82608695652174,37.391304347826086,40.143478260869564
2023/12/20,36.65217391304348,41.26086956521739,36.78260869565217,43.17391304347826,38.21739130434783,43.78260869565217,36.56521739130435,36.391304347826086,41.73913043478261,30.565217391304348,38.51304347826087
2023/12/21,49.375,55.916666666666664,45.333333333333336,61.583333333333336,48.625,51.041666666666664,57.583333333333336,50.375,55.583333333333336,50.583333333333336,52.6
2023/12/22,27.217391304347824,33.65217391304348,27.565217391304348,31.608695652173914,31.434782608695652,29.08695652173913,30.304347826086957,23.043478260869566,35.73913043478261,25,29.46521739130435
2023/12/23,39.97826086956522,36.82608695652174,40.91304347826087,46.608695652173914,42.630434782608695,45.08695652173913,43.391304347826086,41.56521739130435,39.47826086956522,32.65217391304348,40.91304347826087
2023/12/24,61.130434782608695,56.21739130434783,60.26086956521739,49.56521739130435,56.04347826086956,71.3695652173913,61.26086956521739,54.95652173913044,59.73913043478261,46.608695652173914,57.71521739130435
2023/12/25,54.69565217391305,67.04347826086956,64.82608695652173,58.21739130434783,56.73913043478261,74,71.21739130434783,51.82608695652174,63.21739130434783,39.65217391304348,60.143478260869564
2023/12/26,47.291666666666664,44.875,53.895833333333336,47.041666666666664,45.25,59.083333333333336,56,49.541666666666664,49.458333333333336,37.166666666666664,48.96041666666667
2023/12/27,92.70833333333333,90.375,104,101.14583333333333,87.5,101.125,102.16666666666667,93.375,89.66666666666667,67.58333333333333,92.96458333333334
