sid,name,date_str,AOD_055,TEMP_C,WIND_SPEED,PRESSURE_HPA,RAIN_MM
1336A,GKQ_Huanbao,2024-07-28,-999.0,26.601872380574548,4.55071312750929,992.7092757161458,1218.5143489390491
1337A,Mapoling,2024-07-28,-999.0,26.63173891703292,4.439117757408237,995.6017757161458,1466.5655937045692
1338A,Hunan_Normal_Univ,2024-07-28,-999.0,26.601872380574548,4.55071312750929,992.7092757161458,1218.5143489390491
1339A,Yuhua_Huanbao,2024-07-28,-999.0,26.578353500366234,4.616645927661373,992.2459423828125,1456.510666385281
1340A,Wujialing,2024-07-28,-999.0,26.63393618265792,4.502289273813177,994.4305257161458,1353.9703149348377
1341A,Train_Station,2024-07-28,-999.0,26.63393618265792,4.502289273813177,994.4305257161458,1353.9703149348377
1342A,Tianxin_Huanbao,2024-07-28,-999.0,26.578353500366234,4.616645927661373,992.2459423828125,1456.510666385281
1343A,TCM_Univ,2024-07-28,-999.0,26.60390688578292,4.683292125277689,991.8051090494793,1332.2855062782644
1344A,Shaping,2024-07-28,-999.0,26.669662094116234,4.53282579399092,995.8055257161458,1199.8353820294021
1335A,Changsha_JKQ,2024-07-29,-999.0,29.328404362996423,2.942205799702868,998.5496175130207,108.51956084553649
1336A,GKQ_Huanbao,2024-07-29,-999.0,28.935175196329794,3.274180962942816,995.9046175130208,134.25085433010508
1337A,Mapoling,2024-07-29,-999.0,29.328404362996423,2.942205799702868,998.5496175130207,108.51956084553649
1338A,Hunan_Normal_Univ,2024-07-29,-999.0,28.935175196329794,3.274180962942816,995.9046175130208,134.25085433010508
1339A,Yuhua_Huanbao,2024-07-29,-999.0,29.040074284871423,3.050920023975472,995.2229508463543,133.57656561021258
1340A,Wujialing,2024-07-29,-999.0,29.156285222371423,3.102209993212334,997.4962841796874,122.18941673819472
1341A,Train_Station,2024-07-29,-999.0,29.156285222371423,3.102209993212334,997.4962841796874,122.18941673819472
1342A,Tianxin_Huanbao,2024-07-29,-999.0,29.040074284871423,3.050920023975472,995.2229508463543,133.57656561021258
1343A,TCM_Univ,2024-07-29,-999.0,28.90595970153811,3.214416506254737,994.8975341796875,147.40912355665614
1344A,Shaping,2024-07-29,-999.0,29.284052149454794,3.248188287110795,998.9562841796875,107.08042532388617
1335A,Changsha_JKQ,2024-07-30,0.161,30.316430028279626,2.469575237672757,997.7984798177083,3.7546167672424247
1336A,GKQ_Huanbao,2024-07-30,0.138,30.035342788696312,2.828547803260911,995.1730631510417,5.570643633678429
1337A,Mapoling,2024-07-30,0.14300000000000002,30.316430028279626,2.469575237672757,997.7984798177083,3.7546167672424247
1338A,Hunan_Normal_Univ,2024-07-30,0.134,30.035342788696312,2.828547803260911,995.1730631510417,5.570643633678429
1339A,Yuhua_Huanbao,2024-07-30,0.145,30.075137710571312,2.6766643284761376,994.486396484375,5.472288519218438
1340A,Wujialing,2024-07-30,-999.0,30.203555679321312,2.6459422863171262,996.7543131510417,4.546710342243188
1341A,Train_Station,2024-07-30,0.157,30.203555679321312,2.6459422863171262,996.7543131510417,4.546710342243188
1342A,Tianxin_Huanbao,2024-07-30,0.136,30.075137710571312,2.6766643284761376,994.486396484375,5.472288519218438
1343A,TCM_Univ,2024-07-30,0.243,30.010359064737997,2.846712357702743,994.1634798177083,6.468378990962975
